Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,entity,timestamp
31.260067,28.297855,31.417746,1.1013962,0.112611584,0.1017294,Equipment1,2018-03-19 03:27:00
31.234634,28.297855,31.3974,1.1013962,0.112611584,0.1017294,Equipment1,2018-03-19 03:28:00
31.214289,28.297855,31.371967,1.1013962,0.112611584,0.12716176,Equipment1,2018-03-19 03:29:00
31.188858,28.297855,31.346535,1.1013962,0.112611584,0.1186843,Equipment1,2018-03-19 03:30:00
31.168512,28.297855,31.321104,1.1013962,0.112611584,0.11020685,Equipment1,2018-03-19 03:31:00
31.153254,28.297855,31.300758,1.1004807,0.11169604,0.11020685,Equipment1,2018-03-19 03:32:00
31.132908,28.30167,31.280413,1.1013962,0.11169604,0.11020685,Equipment1,2018-03-19 03:33:00
31.117647,28.297855,31.260067,1.1004807,0.11169604,0.1186843,Equipment1,2018-03-19 03:34:00
31.102388,28.355078,31.244808,1.1004807,0.11169604,0.1017294,Equipment1,2018-03-19 03:35:00
31.097303,28.374151,31.224463,1.1004807,0.11169604,0.11020685,Equipment1,2018-03-19 03:36:00
31.07187,28.328375,31.209204,1.0995651,0.11169604,0.14411665,Equipment1,2018-03-19 03:37:00
31.066784,28.328375,31.193943,1.1004807,0.11169604,0.1017294,Equipment1,2018-03-19 03:38:00
31.07187,28.393225,31.214289,1.1004807,0.11169604,0.169549,Equipment1,2018-03-19 03:39:00
30.995575,28.297855,31.132908,1.1004807,0.11169604,0.169549,Equipment1,2018-03-19 03:40:00
30.95997,28.31693,31.102388,1.1004807,0.11169604,0.16107155,Equipment1,2018-03-19 03:41:00
31.000662,28.39704,31.148167,1.1004807,0.11169604,0.1186843,Equipment1,2018-03-19 03:42:00
31.036266,28.33219,31.193943,1.1004807,0.11169604,0.16107155,Equipment1,2018-03-19 03:43:00
30.990488,28.377966,31.127821,1.1004807,0.112611584,0.11020685,Equipment1,2018-03-19 03:44:00
30.980316,28.297855,31.107475,1.1004807,0.11169604,0.1017294,Equipment1,2018-03-19 03:45:00
30.95997,28.343634,31.08713,1.1004807,0.11169604,0.11020685,Equipment1,2018-03-19 03:46:00
30.949797,28.320745,31.07187,1.1004807,0.1107805,0.1017294,Equipment1,2018-03-19 03:47:00
30.934538,28.439003,31.056612,1.0995651,0.11169604,0.11020685,Equipment1,2018-03-19 03:48:00
30.929451,28.450447,31.056612,1.0995651,0.1107805,0.11020685,Equipment1,2018-03-19 03:49:00
30.924366,28.38178,31.03118,1.0995651,0.11169604,0.12716176,Equipment1,2018-03-19 03:50:00
30.91928,28.48478,31.03118,1.0995651,0.1107805,0.12716176,Equipment1,2018-03-19 03:51:00
30.954884,28.442818,31.07187,1.0995651,0.1107805,0.09325195,Equipment1,2018-03-19 03:52:00
30.985401,28.439003,31.107475,1.0995651,0.11169604,0.1017294,Equipment1,2018-03-19 03:53:00
30.995575,28.496223,31.132908,1.0995651,0.11169604,0.11020685,Equipment1,2018-03-19 03:54:00
31.005747,28.496223,31.137993,1.0986496,0.11169604,0.1017294,Equipment1,2018-03-19 03:55:00
31.010834,28.496223,31.148167,1.0995651,0.1107805,0.09325195,Equipment1,2018-03-19 03:56:00
31.01592,28.412298,31.163425,1.0995651,0.1107805,0.09325195,Equipment1,2018-03-19 03:57:00
31.021008,28.465706,31.163425,1.0995651,0.11169604,0.1017294,Equipment1,2018-03-19 03:58:00
31.026093,28.46952,31.168512,1.0995651,0.1107805,0.1017294,Equipment1,2018-03-19 03:59:00
31.036266,28.435186,31.173597,1.0995651,0.1107805,0.11020685,Equipment1,2018-03-19 04:00:00
31.041353,28.442818,31.183771,1.0995651,0.1107805,0.1017294,Equipment1,2018-03-19 04:01:00
31.046438,28.511482,31.188858,1.0995651,0.1107805,0.1186843,Equipment1,2018-03-19 04:02:00
31.041353,28.519112,31.188858,1.0986496,0.1107805,0.1017294,Equipment1,2018-03-19 04:03:00
31.046438,28.519112,31.193943,1.0986496,0.1107805,0.11020685,Equipment1,2018-03-19 04:04:00
31.051525,28.53437,31.19903,1.0986496,0.1107805,0.1017294,Equipment1,2018-03-19 04:05:00
31.046438,28.561073,31.204117,1.0986496,0.10986496,0.1017294,Equipment1,2018-03-19 04:06:00
31.046438,28.576334,31.204117,1.0986496,0.10986496,0.1017294,Equipment1,2018-03-19 04:07:00
31.051525,28.57252,31.204117,1.0986496,0.10986496,0.12716176,Equipment1,2018-03-19 04:08:00
31.051525,28.542,31.204117,1.0986496,0.10986496,0.1186843,Equipment1,2018-03-19 04:09:00
31.051525,28.599222,31.209204,1.0986496,0.10986496,0.11020685,Equipment1,2018-03-19 04:10:00
31.046438,28.599222,31.209204,1.0986496,0.10986496,0.1186843,Equipment1,2018-03-19 04:11:00
31.051525,28.568705,31.214289,1.0986496,0.10986496,0.1017294,Equipment1,2018-03-19 04:12:00
31.056612,28.496223,31.214289,1.0986496,0.10986496,0.09325195,Equipment1,2018-03-19 04:13:00
31.056612,28.507668,31.214289,1.0977341,0.10986496,0.11020685,Equipment1,2018-03-19 04:14:00
31.051525,28.599222,31.219376,1.0977341,0.10986496,0.11020685,Equipment1,2018-03-19 04:15:00
31.061697,28.591593,31.219376,1.0977341,0.10986496,0.1017294,Equipment1,2018-03-19 04:16:00
31.056612,28.595407,31.224463,1.0977341,0.10986496,0.1017294,Equipment1,2018-03-19 04:17:00
31.056612,28.580149,31.224463,1.0977341,0.10986496,0.1186843,Equipment1,2018-03-19 04:18:00
31.056612,28.599222,31.22955,1.0977341,0.10986496,0.1017294,Equipment1,2018-03-19 04:19:00
31.051525,28.610666,31.219376,1.0977341,0.108949415,0.09325195,Equipment1,2018-03-19 04:20:00
31.051525,28.633554,31.224463,1.0977341,0.108949415,0.11020685,Equipment1,2018-03-19 04:21:00
31.051525,28.648813,31.224463,1.0977341,0.108949415,0.09325195,Equipment1,2018-03-19 04:22:00
31.051525,28.625925,31.219376,1.0968184,0.108949415,0.11020685,Equipment1,2018-03-19 04:23:00
